"","text"
"1480","   kitchen   love  cook    fun  look  recipes     listening  music  watching   amazon prime video   cook   subsequently bought  echo dot   ihome clock docking station   bedroom   created      play music        time   plan  add  speakers   future"
"1481","excellent quality   sound  deal  prime day"
"1482","     neat    visual version  alexas responses nice    lyrics  music   listening   flash briefings   videos  speaker      dot     quality"
"1483"," fun"
"1484","fun   learning   "
"1485","  nice sound  picture"
"1486"," product      imagined  love  timer setting  reminds     clothes   dryer        love shopping list feature   family enjoys  games     life  little  easy alexa   personal assistant "
"1487"," love "
"1488"," disappointed  alexa doesnt hear   doesnt respond   requests"
"1489","highly   eco showno complaints"
"1490","love   glad     prime day       totally pay  price  "
"1491"," addition   alexa family  nice    visual    pics recipes etc"
"1492"," love       day   finding          "
"1493","              broken       screens  lose lines  resolution  timers  reminders    hour late  reminders  trigger  trying  set  reminders   dont   issues   dot   echo          nice  amazon    act   actually fix  "
"1494","easy set "
"1495","pleased   echo   loud   hear  voice  understand    previous versions"
"1496","love     request music   able   lyrics     dot      "
"1497","  liked   actually seeing  words  song     guess  expected  little      currently available"
"1498","im  learning   product      love "
"1499","easy  "
"1500","     "
"1501"," love  product  im   computer literate    voice controlled        touch   daughter  lives   town     drop         living net door   "
"1502"," enjoy seeing lyrics   screen   amazon music stations"
"1503","love  echo     kitchen   recipes"
"1504","alexa  pretty dumb "
"1505","    slow internet     speaker    tons  fun  "
"1506","love  echo  alexa  amazing          display lyrics photos etc  speakers  amazing  fills   bought  prime day     deal  worth "
"1507","love  echo      device  wonderful"
"1508","   fun    play music   lights     else"
"1509","       delay bringing  ring cameras  sound  video quality  "
"1510","         arlo security system"
"1511","   fun   enjoy using     hooked      lights    tell alexa          connects   spotify     alexa resume  playlist   pick       feel  theres         im excited    "
"1512","upgraded   original echo  prime day     love  im          maximize  utility      owe  marked increase  lyrical knowledge      post malone actually  words"
"1513"," cant access youtube   consumers   pay   argument  cant      product  offers   "
"1514",NA
"1515"," learning   echo      love      loves  cook  especially   aunt  lives        connect     cook "
"1516"," love     desk      video  friends listen  music   words      amazon cloud cam feeds   location  pretty spectacular     sale    stellar    thinking       front "
"1517","love "
"1518","love  echo   sound  picture    job    entire echo collection"
"1519","cant change voice  echo"
"1520","        product"
"1521","     screen  hi resolution"
"1522","   easy       hoped "
"1523"," love  echo  im    live  campus  school   fall        serve   easy   connect  people     camera   makes little sense  carry devices  cameras   time   difference     item  stationary  family      dropin feature  comfort    invasion  privacy  definitely  source  relief   parents     easily pop  onme  visa versaid    thank amazon  including  voiceview screen reader   device      lot  blind friendly   alexa    hadnt included thatwe   echoloving household   dots  echos      wouldnt  surprised       future  ourselves  loved ones thanks amazon"
"1524"," love    awesome"
"1525","    able  listen   single song   time  amazons vast library    beginning    echo    offer  worth  price alexa   helpful"
"1526","love "
"1527"," sound   screen  nice  actually  time trivia etc"
"1528","   perfect   able    canary cameras  thats exactly       happy    alexas          addition"
"1529","  love  item    fun"
"1530"," agree youtube    "
"1531","    lot sound     original echo  bass feels deeper   screen  cool  havent   lot      "
"1532"," sound  capacity  join  apps     smart home"
"1533"," addition   alexa family  wish     screen   backgrounds dont   wrong  dont regret buying  especially   primeday sale    sale price     skills     lacking"
"1534","ive  previous experience   echo dot    blows  previous expectations    waterits     play videos  music  multiple sources   speakers  pretty loud"
"1535","love  echo      video chat   kids  grandkids      kitchen    run      alexa  add    grocery list        easy  set "
"1536","im  hoping  skills   advantage    touch screen theres  incredible amount  untapped potential locked   restrictions            enable skills  navigate  touch please"
"1537","love    plan  getting  echo   kitchen"
"1538","   pick   voice unless  yell  times"
"1539"," love "
"1540","amazing"
"1541","fire hd       priced pair  speakers"
"1542","     product  unable  play music  sync   sonos system sonos doesnt   recognize   "
"1543"," product    apps    connect  "
"1544"," love   able  talk   grandson  ease   picture quality  "
"1545","love  easy setup    drop    daughter  soninlaw  live  st louis anytime  loves    mother drop   "
"1546","fun"
"1547","    control  smart home"
"1548","     learning       able  watch videos talk        features"
"1549","wish  bought    "
"1550"," intrusive     "
"1551","love  echo "
"1552","   thrilled     apps    paid  seprately"
"1553","video calls  mom"
"1554","love  able      hear   sound   "
"1555"," love "
"1556","    echo doesnt disappoint"
"1557","nice picture  sound   mics    sensitive   dot  dots  hear     house         love  showi  watch tv  movies   tg ed kitchen   news playing  musicloveit "
"1558"," basically    play music   tell   newsits sometimes hard  communicate     dont   command correctly   realize  learning  style  speaking     commands    dont   exactly   "
"1559",NA
"1560","upgraded  echo  echo "
"1561"," love  echo     dot    using      months           sound quality  amazing   screen resolution   watching  mini  tv   love  able    timers events  list instead    read     purchased   prime day    worth  penny    dot          cute novelty   ill probably      wrong  echo     daily routine      life   easier"
"1562","  im  pleased   echo      theres        havent  able  explore  extent   abilities    special price     prime day promotionand   cant beat      price   pleased   sound  video screen  sharp sometimes  takes   tries   alexa  perform  commandbut       system  im hoping   improve   drawback   musicive noticed  lot   songs   past  rerecordings   original artistbut   original recording   example secret agent   johnny riversa liveversion     original version   im   pay  prime musicid   hear  original version  songsnot  recordings        choice      hear  otherwise  am  pleased   echo    pleased     bought   "
"1563","      im  learning    "
"1564","    kid   house     constantly repeat myselfi  tell alexa      day  according   history  hears  comeletely differentthe device   cool     concept       stars    doesnt   intendedi   irritated         device"
"1565"," easy  "
"1566","  sound  video quality"
"1567","   music sounds  poor quality"
"1568","    echo      havent  probably wont   video functions   hoped   display   allow   customization       limited     clock  weather  display   text    time   displays    text      line    tell alexa       tips   bottom   screen           wont sound quality         echo     bought   sale     value    paid     disappointment    paid  price"
"1569","love  echo "
"1570"," enjoy    learning"
"1571","am  happy     "
"1572","   echo devices stopped communicating properly  sonos devices  connecting  echo    account   echo device  play music  sonos baffled  system   previously  flawlessly      weeks   eventually solved    neither amazon nor sonos  figure "
"1573","           expecting "
"1574","doesnt  respond   wake word    rd echo product       am  little disappointed alexa voice assistant     comes  controlling  connected home    lot  learn  google assistant   comes   getting answers  search queries"
"1575"," product"
"1576","  weeks  am         alexa    screen     bought     abay monitor combined   wifi camera       screen    unless  tell       instead    talking cylinder     mini screen    talks     writes       accompanying video       audio   alexa         tv    talk "
"1577","  sucks"
"1578",NA
"1579","love  able  read  lyrics   favorite songs"
"1580","   awesome  grocery lists paired   anylist app  flash briefing       complaint     pause  alexa decides       listen    forever    definitely worth  purchase"
"1581","  video call function nice  communicating  dropin"
"1582",NA
"1583","    echo    kitchen   exceeds  expectation theres  wealth  information   topic   customizable  sound  video    echo  echo dot       hole house music    exploring     love  perfect  getting recipes       youre preparing  cook"
"1584","fairly easy  "
"1585","absolutely love  echo     awesome      ring video spotlight cams  music  demand     features      explore"
"1586","absolutely love      everythingi tell  friends  clients    daughter            doesnt complain  wish  bought  package deal   truly        kick   "
"1587"," love     kitchen  convenient  look  recipes listen   news  watch prime video  im cooking"
"1588","  onetill          cracked     hard  navigate  actually   dot "
"1589"," "
"1590","love "
"1591","   fourth echo original   dots    decent speaker fun graphics"
"1592"," loved talking     box   able  easily set "
"1593","easy  setup    ability  play video  huge addition  alexa device family"
"1594","echo        apps butnot cozi    echo    cozi familys doesnt   amazon      drawing board       piece  technology   lacks  essential please fix cost   echo    marvelous   echo     shopping list       adding items  list   lag     router  slow  provider speed  gb speed       items  updated  cozi   slow help      updated    conditioning"
"1595","  music   listen    movie   watch     ring doorbell "
"1596","  video options"
"1597"," sound"
"1598","  advantage  prime friday  decided    chance  purchase    enjoy  features  comes  im sorry  didnt purchase      worth  money   looks    nightstand   night     steep  sleeping music  happy customer"
"1599"," musicthe shopping list   sound"
"1600","diversity       hear wealth  information"
"1601","love  thanks amazon  guys rock"
"1602","disappointed   device   able  access youtube   dec   wasnt aware     purchased  ive     device  voice stops  throughout  day     trying  respond     window   contains  info        device  stuck   process  stops    blue bar  flashes     unplug  restart  device      starts    irritating  device      device  google  amazon  act  grownups"
"1603","returned  repair   repair       requires          defective    itselfi sent   repair       fixed   site   option  complain   pagei   echo spot   perfectly    position"
"1604","love "
"1605","   design   visuals"
"1606"," havent          lot   love      set timers  cooking   stove   finicky         time      check   recipes listen  music    time favorite telling    time  dinner  son   real kick   thati   lot  people  expecting             moment  remember  original echo didnt              amazon  adding  stuff   time  soon  am          soon maybe    havent  ofi  wish    bit  user friendly   havent figured    video chat   cousin  north carolina        tried  call  sons dot    video chat immediately   looked dots dont  video screensanother      addressed    husband tried       bedroom play thunderstorm sounds  help    sleep  tried     buy  app instead  playing  skill   enabled   free      bit worried         fixedi          am  happy   echo "
"1607","          alexa                lot  learn  play "
"1608","     fun  "
"1609","      echo devices   own  spot  dot  echo"
"1610","   screen  majes   enjoyable experience    missing  youtube"
"1611","easy  "
"1612"," bought      security camera system     perform       doesnt alert       door   cant talk   person   door   echo     cell phone"
"1613"," device features  awesome  interaction  fantastic home automation  perfect   link   accounts correctly   issue     echo       sent   repair    screen glitching      months     issuesfirst repairs  sent    updated  firmware     device       update    firmware        weeks   glitch starts  againi love    im getting  frustrated   glitching"
"1614","super fun   ty     expecting"
"1615",NA
"1616"," love    alexa         "
"1617","   echo        daughter absolutely love  especially   video chat"
"1618","ive   alexa dot   time  im  enjoying  alexa       visual    song   weather played jeapordy  im       learn trivia   ones watching love  recipes  visible  movies  available havent      try "
"1619","   amazon prime   ring pro      lazy guy  am  dont        door anymore  im gaming"
"1620"," originally     video chat family          found     checking  handsfree   weather  recipes      liked     recommend "
"1621","easy setup    running  minutes  learning feature  outstanding     amazon    ahead   competition"
"1622"," bought  product hoping  alexa   pretty  developed      expecting    responsive   piece  crap doesnt     respond   question  amazon themselves told     echo buttons manual  step   device  potential      screen decent sound    bucks    reccomend       spent  feel    shorted oh  lastly  device  pretty useless   prime membership  linked  personal account       literally  decorated bluetooth speaker     family account        minimal oh     prime membership      music pass   thats  extra   month leaving  item  subscription nightmare   overpriced decorated bluetooth speaker   eyes     zero stars   "
"1623"," niceclear  sound"
"1624","versatile   watch movies  news  able    remote  vehicle      communication hub   home   produc"
"1625"," bought          daughter  lives      love "
"1626"," family bought     help communicate   parents  grandparents   simpler devices   fullfledged tablet   fantastic potential     digital photo screen video calls easy accesss  music audio books etc      setup  discovered  huge lurking negative  amazon forces   view continous spam   home screen promoting   alexa features          settins         try   instead   beautiful digital photo screen  weather  time    constantly   spam ad   home screen    try    amazon please listen   customers  offer  setting     spam"
"1627","    owning     mother   antitechnology    ease everyday    reasons       "
"1628","           kitchen  recipes"
"1629","echo   perfect  staging   kitchen  recipes       print  wonderful device acoustical sounds    powerful   tall cylindercal echo     covered   adjacent family "
"1630"," fun  frustrating  times commands  tv     mixed   watch     directv  display    stinks          video options  flash briefings    tech wonder   low price"
"1631","love    play music    lyrics  connected   echo dot  enjoy listening  multiple "
"1632"," love alexa      chance  add    home  jumped     im      doesnt   paid   extras   echo    upstairs bedroom    am supposed  pay     added   home  im afraid    whats   "
"1633","purchased     personal  contact vehicle  engaging   distance grandchildren  perfectly   regard resolution  sound    expected highly recommend"
"1634","  pictures awesome sound         bandwidth   alexa devices   home music ghz vs ghz"
"1635"," am pleased   echo    sound   music   words   tunes   news  weather  color   screen   photos   "
"1636","echo    personal assistant awesome"
"1637"," packaging  beautiful         dots   echo plus         love   echo   roomyou     alexa    screen      black     sleeping"
"1638"," ability  respond   accuracy  variety  information provided  google search  spoiled mei  originally expected      type  search engine   echonot   ability  alexa  provide  detailed information      packageperhaps improvements    offing   updates"
"1639"," daughter   echo    told     loved   bought  white    kitchen  absolutely love       features    plus  extras  sound system  awesome   own  original echo tower dots  spot          house  highly recommend    products"
"1640","     feature    video calls  "
"1641"," love  device   bought  simple       alarm clock   amazon echoand  prime day   price  couldnt beat      sonos   ass fan lights   am able  control   device   perfect  getting    time"
"1642"," ase  participating  echo"
"1643","   weather options  alexa search compacity  improvement  aint  google alexa   requests probably     time currently alexa doesnt  youtube     huge drawback    echo  dropped  price  international radio via tune   awesome    search engine   pulling teeth    "
"1644","love "
"1645","love   havent figured          "
"1646","easy   answers   questionshands free whats         perfect      sign   times     connected  smart home items  enjoy  totallly   home connected"
"1647"," product  amazing  love   buy   missing  bluetooth"
"1648"," "
"1649"," echo     enjoy   "
"1650","  blink video cameras       tube"
"1651"," love  simple set   love        answers     questions     bought      family        jetsons"
"1652","  draw    stops    awhile   middle   song "
"1653"," product"
"1654","echo   teacher english    funnybut sometimes    listen    "
"1655","ight"
"1656","awesome product  am   process       house set   automation       favorite device"
"1657","weve   original echo    time   recently added      simple  setup   inviting     visual interface   echo      primary interface   connected home system   currently  controlling lights  switches   look forward  expanding   capability       maintaining lists   music player  information  entertainment   havent     shuffle   favorite  photographs   start  soon"
"1658","   "
"1659","bought       kitchen      sewing        recipe           am  learning    "
"1660","love     song info   screen  playing  time notifications news etc"
"1661","alexa takes  getting     picture quality    touch screen   responsive  smooth speakers    expected  wellfour stars   five"
"1662","love "
"1663","   option  white   bizarre   comes   black cord    white kitchen      standsoutlikeasorethumb black power cord  aesthetic purposes   happier   yearold white echo        white powercord     major design flaw   white option  strongly urge amazon  change   powercord  white"
"1664"," am  pleased   echo   love      nice features  highly recommend "
"1665"," ease  set   overall functionality makes  echo  worth  penny   especially  setting  background screen   able  set affirmations     personalized reminders"
"1666"," love      primarily   kitchen   addition   common services      allrecipes  cooks illustrated recipes"
"1667","easy     recipes listen  music  movies movie trailers    "
"1668"," love  able   information  alexa    notifications             delivered    tells          echo screen  pull  details        alexa skill   calls  uhyour echo"
"1669"," sound  video"
"1670","  "
"1671","love  echo     listen  music  recipes      highly recommend  echo  "
"1672","easy  set  plug      selections   preferences   language temp    etc  am getting  familiar      adding  calendar  appointments"
"1673","   variety  stuff   echo  offers"
"1674"," love "
"1675"," wish     internet searches      feature  "
"1676"," bought   visiting  friend          understand  frustration    youtube      havelove seeing  words  songs      ring doorbellyou        chairlaziness     lol       product   speakers"
"1677"," smart home gadget"
"1678","love  speakers   screen"
"1679"," youtube"
"1680"," loved    item quick response time   sensitive   speaking       house"
"1681","bought    mother"
"1682","              headphones  "
"1683","       sound   echo dot"
"1684"," screen   picture"
"1685"," love    compatible     cameras       echo dot "
"1686","     kitchen   news  music   am   video call  daughter  grand kids   dig "
"1687"," absolutely love     love amazon   echo   bonkers       brief chat  voila     replace        floored   screen started blurring  shaking  jumping  missing    data alexa  talked   couldnt watch movies  happy  amazon   easy  deal   makes    products   hassle  "
"1688","   recipes  references nice device    size"
"1689"," "
"1690"," fine   realize  dont     dont  "
"1691","   screen microphones speaker  alexa lives inside  yup    echo   expectations met"
"1692","   user friendly"
"1693",""
"1694"," start withdislikes     buy         housedo     add  likes  hahaawesome fun  useful  else  "
"1695"," outstanding piece  technology    everyday  information scheduling   information  awesome amazon  improving  ai"
"1696","   impulse buy   am super happy    purchase  love     immediately bought  parents     video chat easily  love   features   easy      set "
"1697","  "
"1698"," product  price  prime day  thanks alexa"
"1699"," trying  figure    link  bluetooth speaker"
"1700","wish    skills"
"1701"," learning     started integrating  smart devices   home   echo product line       spot  dots   kids dot  trouble getting   call       "
"1702"," improvement   original echo    ability   lyrics  songs watch prime tv    visuals   little hints    try  appears   bottom sparks  imagination"
"1703","love "
"1704","sound  greatvideo        learn         videos youtube listen  music watch  news"
"1705"," addition   alexa family  video "
"1706","  belong  amazon prime       watch  video       library     prime music"
"1707","starting  day"
"1708","  dislike     lot    expected"
"1709"," bought  specifically   wife  look   arlo security cameras   bedroom  im    system    days        error message  disappointed due      advertise   systems      stars     else  "
"1710","love "
"1711","  awesome  love  able    lights    dont   walk   dark home     video chat   nephews  live      alexa  call"
"1712","super easy set   features fun"
"1713"," love  size   videos    quality   sound  awesome "
"1714","home"
"1715","bought    grandparent  help  reminders  recommend       life  dementia  memory loss helps  grandmother remember   medications   daily task  loves     listen  music   questions"
"1716","kids    games    lyrics  songs  neat"
"1717","   able  connect   rd party viceo apps"
"1718","glad  upgraded  aka"
"1719"," leaning    price  "
"1720"," own  dots  tap     love  echo  sound quality  amazing compared   dots   mine constantly  create shopping list kitchen  laundry timer  news updates         throughout  house   play music throughout using   settings"
"1721"," absolutely love  "
"1722","echo   whitenbsp   addition   alexa home solution     call  home  video chat directly   phone    stay  touch  family"
"1723","  echo   screen hence      considering google home "
"1724"," product"
"1725","      messages  visual     audiblei am puzzled    light     quot notificationquot  sound     alexa  read  notifications  tells       notifications    happened     day    week "
"1726","  loved alexathis     level love  fun  watch movie trailers weather     complete   listen  musicthe lyrics appear  discovering  echo    highly recommend takes alexa   completely  world"
"1727","nice product   intelligent      hoped"
"1728"," tech isnt   doesnt understand  common words   basically  glorified radio"
"1729",NA
"1730","love      echoes  love    bought   prime day   regrets  love    connect   ring    front door  yhe kids  seeing  lyrics  songs  sing  "
"1731"," love  plays  music movies       lag       arlo security cameras thou     wish     cord"
"1732","love  echo   video quality     course sound   "
"1733","love      kitchen    watch prime video  cooking"
"1734","love   "
"1735"," product"
"1736","   pleased   item  display  clean  crisp  easy  read  enjoy trying  suggested   try  alexa    timer feature   bit   added  calendars  contacts    exploring   skills available"
"1737","device   speakers   screen quality  phenomenal"
"1738","    dot spot echo    love    spot      sound   wife loves  display  weather recipes  sing alongside super deal"
"1739"," doesnt play  tube videos"
"1740","   útil  week algo í     month   started flickering     support forums       isue        months reported     solución"
"1741","   video calling feature         contact   elderly parents    "
"1742"," sound    terrible    tin   love  echo   item  awful"
"1743","   waiting   echo     sale    worth  wait   easy  set   start using"
"1744","bought   prime day"
"1745","   th echo device st echo       huge potential         soon found     limited  bit disappointing       world         screenless echos   little   month   screen started flickering    bottom   screen     quick look   forums   understand   pointless    replacement   people   devices replaced   start flickering  shortly  amazon   providing  serious answers          time apparentlylong story short  moved    hallway   using     expensive  bulky voice activated light switch   hue lights    headline suggests meh"
"1746","love   play music    finding recipes   family   adapted machines  "
"1747","   little  intuitive   regular echo plus    little harder    pick   youre saying   combined         household   speak loud     hear  cross activating  ones     rename    overall         adept  doing    original echo plus"
"1748","              mine  music   arlo security cameras    connect  display  outdoor cameras  voice   exceptionally capable devices   highly recommend "
"1749","love seeing    display"
"1750"," love     enjoy watching  daily news play music  lyrics  songs   coffeeetc"
"1751","  alexa primarily  listening  music  checking  weather    learning         ready  hands free    speaker   volume  sound"
"1752","plug  play set   simple added battery base    portable looking forward  using  hub"
"1753"," speaker     love       alexa tap  definitely fast  response     prettier"
"1754","shes alexa  bit dense   learning    phrase    nynj regional accent"
"1755"," sound  easy  set  purchased  echo plus     built  hub     easier  connect  devices  am hooked  alexa"
"1756","   built  hub plus  unit sounds   wish    volume control  "
"1757","happy  echo plus  fun learning      "
"1758","love   echo plus"
"1759","omg  love "
"1760","     week  love    control items   house   im   makes  feel       house  people dont     gone alexa   disappointed"
"1761","        plugged       experiences   positive"
"1762",NA
"1763"," surprised  learn       bluetooth speaker  phones  tablets  probably lists    description   missed        surroundlike quality   bluetooth speaker    range     none       basic access  amazon music    lot  listen   theres  huge    alexa   learning   day"
"1764"," fun    love novelty gadgets  alexa     "
"1765",NA
"1766","awesome device    home     useful information  dont      phone  answer spur   moment questions"
"1767","   echo plus  wonderful     dont    doesnt   "
"1768"," love  echo plus   listening  musicthe sound     features  nice   wish   wireless    listen  music outside"
"1769","   product  easily set        sync   personal set "
"1770","using   hub  music"
"1771","   ai built    interact     continue  conversation sometimes   finding  answer      cant  stop alexa          able  access  wikipedia dictionary       fast accessneeds  hear       able  name    own instead calling alexa  echo price   reduced  bit value based  updates   auto  daily  improve   connectivity   home equipment   imrproved  wellgood product   sound quality    ai built "
"1772","   excellent purchase echo plus  sound quality  size  love   "
"1773","     hours  set      galaxy  phone       system setup     edit  light bulbs adding  string  lights simple easy"
"1774"," speaker  microphone response  loving  purchase   beginning   smart home"
"1775","   rd echo    built  hub          echo   family   bedroom   home office"
"1776"," donr          explicit directions   electeonically challenged       feee lifht bulb      package"
"1777"," amazing       love "
"1778","awesome product  responsivealexa    content  variety   comes  music    bing search engine instead  google      combine     perfect product"
"1779"," am pleasantly surprised   accuracy  alexa  unit   responsive   easily respond   tv  music playingi  pair  smart  bulbs       dim  ease using voice  app fidelity      sizemy  regret      liked  silver model   fabric cover     unimportant issue"
"1780","     buy   intention  buying alexa products instead  talked   google home products bought  google home   home mini  trouble   start setting     couldnt understand  husband scottish accent  days   oops   wrong command  returned   bought  amazon echo    echo plus  easy  set   connected immediately   amazon account    easier  navigate   understand commands   husband    try       error message   loved   products    gone    intended      wont regret  purchase"
"1781","tons  features  skills     speaker  plenty  bass  music        ai  responding  random questions   android phone        echo     lot   hmm im       dont   opinion   "
"1782","  alexa"
"1783","     fun    learn   deal  alexa  am  learning  finding       plus  am   process    house  smart house       control  alexa "
"1784","      "
"1785"," specs  regular echo  easier    getting  separate hub  smart lights etc"
"1786","   product    aspects  easy  setup  control  intuitive straight forward instructions  included lightbulb  excellent   perfectly    enjoy  product  recommend "
"1787","          alexa   stubborn lol       prime day    light bulbs     deal      light bulbs    called     sold    bad        buy light bulbs"
"1788","  ability  play amazon music outside  patio gatherings    blue tooth  connect echo plus via alexa app   tablet   external speaker whenif  party extends   yard   plans  connect  devices   thermostat   lighting  home devices"
"1789","   mainly   son   currently vision impaired        setup  fairly easy           easier  setup   loaded   stuff     text messages  friends easier     download         link  email    common social media  facebook  twitter     purpose      connected   web  voice   wouldnt feel left   isolated       tech support phone   call      direct help   echo  tech support  help setup  device       friend whos   guy   help  setup"
"1790"," love  aspect   echo plus      office  light     desk lamp"
"1791"," hub"
"1792","   hard  review   am     problemi am       dog   distracting noise   am  homei am computer literate itunes literate amazon literate    countless  programs  am apparently  dunce   comes  talking  alexa     heard  sigh  exasperationi tried  create  playlist  songs       ignored   am learning workarounds    mediocre  bestand     include  personal playlisti  scoured  beginners section   beginners  addresses    advanced  basic alexa  am iso        able    id    lot     configure       accepting  amazonalexa defaultkaren"
"1793"," satisfied   purchase  package    time     expected"
"1794"," sound easy set  looks cool"
"1795","love  echo plus   versatility    generation echo intercom  voicecontrollable smart bulbs  awesome"
"1796","  bff"
"1797","alexa didnt  answers   questions    example     cups   pound     pound   form  money"
"1798","   love   cool   music  flash briefings  star echo"
"1799"," product        buy  third"
"1800","    enjoyed             able  call    sons    sad            "
"1801","love "
"1802","       echo plus  purchase  "
"1803",""
"1804"," love    own personal secretary"
"1805"," perfect      times alexa picked    tv     slight   smart home equipment     confused      call    call   light    app     light   lights  echo plus      smart hub      user directions  worth owning    step    home smart"
"1806","pretty cool    begun  figure    "
"1807","   google home      echo plus       sound  am totally happy  "
"1808"," love  device makes life easier    figure    "
"1809",NA
"1810"," love  echo plus  havent  bad     controller music         sounding  speaker   bought   fire tv     amazon prime video  netflix   moment  included hue lighting makes  product    found     array  smart lights perfect   house  entertainment   addition  phone calls   mic  speaker makes  practical   busy   kitchen    computer alexa  controll    soon    hey alexa      mic concerns      mute  device     buy     ease  comfort"
"1811","amazon music   love  ability  create   playlists   sound     standard   bose   "
"1812","home entertainment"
"1813"," product   wish    sort  equalizer  bass   little "
"1814","  perfect    introduce  rest   device  complete  functions"
"1815"," decided  buy smart door lock  decided  getting  echo plus  control    chose  kwikset   amazon    compatible   bought  dots          posed  question    community      alexa    didnt    zwave lock  zigbee alexa hub werent compatible    body    lock   seamlessly  echo plus     guess  choices   exchange  plus   regular echo  buy  separate hub  wink   return   alexa system    elsei  dont    buy  hub      echo plus  ill       integrate  hubsthe reason  kept  buying smart systems          afraid  wouldnt operate seamlessly  unfortunately     research   doesnt "
"1816"," echo plus  proved     innovative improvement   life"
"1817"," purchased  amazon echo plus  amazon prime day     hub im   process  upgrading  home   smart home    price   hubs    expensive        hub     devices plus    lot   havent   time      skills    ive  found  using      started  search   hub  wasnt  considering  echo     didnt     hub     didnt          ai system  youre looking   hub  settle   plane hub      personal assistant        costs       hubs oh        price   amazon echo plus   found    bundled   smart bulb        smart plug   price   extras      echo plus   top"
"1818","im  happy   purchased alexa    recently     friends home  played  music  talking   product   love  sound  love        tell alexa    question   responds immediately   havent  able  listen   cds           stereo equipment   time    makes  extremely happy     issue  "
"1819","  learned       learning    pleased  echo plus"
"1820"," love        philly  visiting  son  decided  buy  own  prime day "
"1821"," speakers   devices  surprisingly   functionality   echo device  fantastic"
"1822"," advertised  connected  smart bulbs   "
"1823","  perfect"
"1824","love warehouse buys        condition        seriously    perfect   mark     buy"
"1825","alexa  awesome   day    echo plus  found         didnt      highly recommend  product     accessories"
"1826","ease  set  ill  fun sitting   features      house  smart home"
"1827"," try   yale lock  isnt "
"1828","    ok   instructions  weak            am     techy friend  help      update  "
"1829"," love     love   echo plus      light    dim   voice commands    listening   kindle books   ones   didnt purchased  audibles       play  music  amazon music pandora tunein  heart radio  spotify echo   play  local radio station  love   echo  connected   tivo bolt  allows tivo  pause stop  play whatever     simple voice command  love    reorder items   purchased  amazon    echo plus notifies      mailed     delivered    package   delivered     dislikes       youre   close     echo doesnt respond       improve  microphone   wish  speaker    speakers  okay    improved     echo dot           internet    day  received  red light    echo plus  error  sorry im  trouble understanding  please try    research online  learned     connecting   internet    easy       found  odd   dot wasnt        connected    network"
"1830","love   "
"1831","perfect  controlling  tplink smart devises"
"1832","love   easy  setup   looking forward  adding  smart devices   home"
"1833","  specifically     august smart lock   connected    ease  definitely ties  smart home "
"1834","sound  nice perfect   price"
"1835","love    "
"1836","wonderful product  love alexia"
"1837","   nice speaker"
"1838","music mainly   checking  features"
"1839"," capable  language recognition    ive experienced   sound "
"1840","love  love  echo plus    silly simple  set    alexa      bff  amazon  support  hard  beat    questions answered  time        "
"1841","       coolest "
"1842","awesome easy set  linked     nexia home automation"
"1843","hands free voice commands  interactions  smart devices   house makes   echo plus     purchases ive "
"1844","definitely    buy   time buyers  smart home stuff  bought  "
"1845"," enjoy  various functions   device"
"1846","alread  echos  dots   ability  control philips hue bulbs nudged   buy   prime day   fun product  amazon"
"1847"," purchased  echo plus   buildin hub      convenience   alexa    lights  lamps     philips hue light bulbs  placed   fixtures    alexa  control           echo dot   kitchenden    placed  echo plus  hub   bedroom  radio  lamps   kitchen  den  controlled  tplink plugs    ceiling light fixtures  lamp   den  bedroom  special philips hue light bulbs   controlled   hub inside  echo plus   am able  play music set  alarm  weather reports  numerous     devices   echo dot requires  tplink plug   plugged     echo plus requires  special philips light bulbs installed   light fixture        dislike    price   light bulbs required    lights  regular light bulbs placed   ceiling light fixtures     alexa    echo plus  hub      price   bulbs  love  echo plus  built  hub"
"1848","easily configured hub capabilities  excellent sound quality   size   unit"
"1849","      "
"1850","fun"
"1851","  outstanding  awesome  music sound    loud  alexa   smart"
"1852"," bought  specifically   smart hub capability       easy set  instructions    various brands compatible  "
"1853"," sound  wonderful    plain   wish  cost     worth  cost especially  prime day"
"1854","comes   hub     prime day     hue white bulb        add  stuff  required  hub"
"1855","    smart hub   exactly     lights    arm  disarm  security system   thermostat    greatproduct"
"1856"," easy  set   sound"
"1857","     useful trying  learn      alexa "
"1858","    "
"1859","loved            looks "
"1860"," product  fast shipping thank "
"1861"," fun  imagine  household management options  info questions baffle alexa   options  cool  esp musicrelated "
"1862","easy  set      supposed "
"1863","love   easy  set uplove    request      mind     giving  useful information"
"1864"," product  skills    love "
"1865","  smart buyi am loving       alexa  "
"1866","   awesome      prime day    deal   wish   purchased     bought  echo  version   sound   nearly     echo plus   echo   dented     exchanging      screen     features      getting  refund     worth  price"
"1867","     friend"
"1868","coop product   including smart devices throughout  home"
"1869","easy setup   sound   rate  unit          office  home  am looking add  devices locks  lights   home"
"1870","  expected"
"1871","wonderful  learning      heck   time setting     happened somehow"
"1872"," fantastic  happy   purchase"
"1873","love "
"1874","   list ability   music   play          create  playlist  using  app    alexa   play  songs        tablet  phone        alex   print         app"
"1875","    bundle  fun music games questions etc  luv     smart lights  purchase   smart light   lamps   living    "
"1876"," time using alexa     love "
"1877","   little hard  follow  instructions  product"
